"ID","unusualUses_1","unusualUses_2","unusualUses_taskTime"
"kwt35vcdmbod","writing a story
taking a test
filling out a form
holding pages together
making a hole in paper or foil
drawing a picture
making annoying clicking noises to bother someone
annotating a book
defacing a wall
throw it at someone
stab someone
balance it on your nose
play catch with it
","shout through it
use as a speaker to play music
store items in the funnel part
swing it around by the string attached to the handle
balance it on your head
throw it at people
beatbox
wake up your friend",315.293605
"00x2emqtotyd","Write an essay to poke a hole in the tablecloth
to write on the wall to see how tall i am
to play 'dots' on a piece of paper
use the back side of the pen and pretend to write on someones jacket
color in the letters on a handout from class
take notes
when it breaks throw it into the trash from as far away as possible
get a girls number
 write down a to do list
","To lead a riot
To lead an assembly
to lead a large PE class
To get peoples attention
I could use it with my siblings and make funny noises with it
make different beats with it
amplify my music with it
yell out to people that i a m going to find them in hide and go seek

",318.798600000001
"dvornclgd0aq","write
graffiti
weapon
scratch something
chew on it when anxious
throw it
ear scratcher
opening a box
poking holes
pointing at things
presentation
fidget object","Make announcements to a crowd
Hype up a crowd
Draw people's attention towards a direction
guide people to an exit
pull a prank
a weapon
deafen someone
makeshift music speakers",318.151105
"siggsyvh7xo1","to write 
to poke someone 
to stab someone 
to make a slingshot 
to draw 
to play pick up sticks
to make rings out of wire (wrap around the pen)
","Loudspeaker, use to announce something at a sports game 
Use to yell something into your friend's ear when she's being annoying
Use to help people evacuate a building ",321.92016
"vi9q7fothzy9","To write a letter
To sign a check
To write a birthday card
To take notes
To finish a homework assignment
To make corrections
To mark up a paper
To write down something quickly
To draw a picture
","To yell
To make an announcement
To get people's attention
To tell an important message
To tell something to a large crowd of people
To make yourself louder in a situation
",316.93543
"wolvnbj3iu83","taking an exam
writing a letter
writing a journal entry
taking notes in class
drawing
writing a reminder on my hand
lending it to someone who asks to borrow one
annotating a book
poking a hole in something
addressing a package/mail
labelling things","leading a protest
getting the attention of a large/disorganized crowd
announcing something to people who are far away
announcing/leading some sort of organized event like a sports game
scaring people",319.3823
"wkys7wy9il7c","Writing
Tying your hair in a bun
Holding your hair behind your ear
Straight edge like a ruler
Picking a lock
Fake sword
Break open a plastic container
Back scratcher","Make important announcements
Scare someone
Cheer on a sports team
Wake up a sleeping person
Embarrass your friend by announcing to everyone that it's their birthday 
Yell at students in high school to make them get to class

",352.205055
"mwmkmapelpgo","write
sign
stab
use as a bookmarker
poke
throw
use to pack a joint
use as chopsticks
","speak
shout
talk
announce
get attention
direct a crowd
give instructions
use as an impromptu water pitcher


",337.269215
"qazygyn8c297","write something
pick teeth
pick gunk out from  nails
itch body
tap out a beat
draw a tattoo
draw
chew
","make announcements
sing a song
direct traffic
make funny noises
disrupt the peace
propose to someone
cheer for a team
",316.110705
"0264ddif97z6","write
mark your skin
fashion on your coat pocket
poke someone's eye out
use a pen to get ink for another pen without ink
to poke holes
use to get a spring","speak
call together
hold flowers
use to signify a different speaking voice in a play
call people over from far away on a sports event",342.6198
"lbt3alhiu1f0","Writing
Building a pen statue
Use it in your hair for a stylish hairdo
Use it as a weapon
Use it to poke holes in a paper
Use it to open cardboard boxes
Use it as a distracting tool to ease tension
Give it away as a present
Use it to sketch a portrait or drawing
Use it to practice target bullseye
Play catch with a pen
Spin your pen","Project your voice
Can be used by a lifeguard
Can be used to amp up an audience
Can be used for fun activities
Can be used in an emergency situation to get everyone's attention
Can be used in theatre for stage directions
Can be used for football practice by a coach
Can be used during a swim meet to announce swim times",432.77266
"48910ns9ag9c","to do homework
to write in a journal
to fill out paperwork
to write a love letter
to mark a calendar
to write a grocery list
to put up your hair
to chew on
to fidget with
to draw a picture
to write a letter
","for lifeguarding
if you're a camp counselor
if you are at a rally
to warn someone about something
to play music louder
to scare someone",497.0086
"749d7d4z0hj1","To use it to write, draw, sketch, outline, etc.
To use it to write things that I want represented as permanent or established things in my mind.
To use it to balance in my hand for when I am bored.
To use as a makeshift ruler if no straightedge is available.
To use to air-conduct as practice if no baton is available.","To shout through to get people's attention.
To pretend to shout through as a prop on stage.
To balance on top of a pile or to attach to a pendulum as part of a Rube Goldberg machine.
To put next to a phone or other weak amplifying device to amplify music.
To attach to the end of a gun as a quasi-Simpsons ""loudener"" device.
",311.45407
"96nxhlo4yz55","Writing
Drawing
Sketching
Doodling
Composing music
Something to satisfy my oral fixation
Open up a container
Stab someone
Prank someone
Wedge open a door
Break a delicate machine
Pretending to play the drums
If you have three, they can be like Wolverine claws
Something to stick behind your ear so you look smart and busy
Dealing with an allergic reaction
Picking a lock
Giving/getting someone's number
Picking your nose
","To get people's attention
To scare people
To yell at people
As a blunt, striking object
To scare away pigeons
To make an announcement
To amplify quiet music
As a bookend
As a pretend laser-gun
To enforce order in a chaotic situation
To call a neighbor when I can't find my phone
To encourage a sports team
To tell people about the latest sales at a store
To make the joke that ""I'm full of bull""",320.221335000001
"tbd6qkgwwv0w","To write
To get something out of the grooves of your shoe
As a sword in a sword fight with your best friend
As a shank to kill rogue operatives
As a poison needle
As a door stop
To fidget with it
To point to things
As an accessory (place behind your ear)
To make dank table beats
As a projectile
As a tool to learn about building mechanical systems","To get someone's attention from far away
To organize a sports event
To organize a sports practice
To organize a gym class
To make announcements to a crowd
To be annoying
To control traffic
To make someone hard of hearing
To add emphasis to your words
As a blunt force object
",335.08645
"8508djccbx01","write
draw
throw
clip","get attention
annoy
announce",386.49799
"90z2wrbrs8i0","Write something
Use as a drumstick
Draw something
Edit something
Draw on someone
Imitate a tattoo
Do your homework
Something to chew on
Pack a joint
Stab someone a la the Joker
Hold your hair in place
Do a tiny version of a log roller
Break it open to get the tiny spring inside
Poke somebody
Poke holes in something
","Give an announcement
Play a prank
Warn someone away
Make a speech
Lead a protest
Disperse a protest
Control a crowd
Make your voice heard
Make a funny sound
Restore order
Cause chaos
Talk to someone far away
Get everyone's attention
Issue a safety notice
",313.193945
"2z9m6xr38h4r","write a story 
put up your hair
sell the pen to someone for money 
draw on your skin
draw on paper in general
write of list of things to do 
take it apart and play with the little pieces
take the ink out and make rosarch marks
chew on the end with boredom
take it apart and use the peices to fix a better pen
take the ink and put it in a nicer pen 
play tic tac toe 
pass notes to someone
write an outline for an essay
do math 
draw on the wall to indicate how tall a child is 
click it for fun or as a percussion instrument","get a room to be quiet
lead a group in a chant
communicate with someone across a field
give directions to a group
scare someone as a prank 
broadcast information to a group
spin it around in my hand with the handle in boredom
take it apart and find batteries in it
yell at the top of the mountain to get an echo
yell at people for breaking the rules
",313.952925
"a3nfmupku2aj","Taking notes
Drawing
Chewing the tip
Twirling in fingers
Signing a cast
Signing autographs
Dismantling to use the spring system for something else","To give a speech in a public place to a large group of people
To pass people on one-lane roads
To dismantle and re-build, simply out of interest
To cause a distraction while the others on my team execute the plan
To be that one annoying parent at my kid's soccer game
To lead a protest",357.755354999999
"1p4bgxq1r154","write a essay draft
keep a diary 
write down my ideas
doodle on my paper
take notes in class","announce events
give directions to people
annoy close friends",317.37155
"zufbg4rjsv9g","Writing
drawing 
opening a plastic container
as a weapon
as a bookmark
to hold long hair up
to keep your hands busy when you're bored
to chew on when bored
to clean out narrow spaces
as a paperweight
","to call attention to yourself
to speak to someone who is far away
to speak over a crowd
to get people excited at a pep rally
to get people's attention in an emergency 
",314.389055
"d6q2d70c8zy8","To stab someone
To write with
To draw with
To use the ink as face paint
To tap in a rhythmic fashion
To poke a bear in the eyes
To open a box with
To write a love letter with
To use as a measurement unit
To use as a pipe for marijuana

","To make announcements
To play a siren sound to get people's attentions
To sing a song in a big group
To scare your friend
To wake your friend up as a prank
To drink water out of
To nail a hammer into a wall
To scare a bear away from you
To help rescuers find you deep in the woods
To negotiate a hostage situation
To talk someone down from a ledge
To distort your voice and do funny impressions",315.703035
"q2bgh6j5xiex","stabbing
writing
drawing
drumming
tapping
stirring
back-scratching
signing
communicating
eating utensil
gouging
popping
flipping
","yelling
shouting
screaming
talking
amplifying
commanding
directing
facilitating
scaring
corralling
singing
bludgeoning
fighting
tossing
breaking
using as a fake gun
flipping
using as a bowl for cereal
",354.29165
"7eanb1cab53p","To write with
To open boxes by ripping through the tape 
To play with (fidgeting or as drum sticks)
To scratch your back with","Amplifying my voice
Announcing things in a crowded or loud area ",675.33014
"qmkqt2gdyxmf","write
draw
pick teeth
chew
pretend fencing/sword fighting
retrieve another object from a tight or small space
bookmark/placeholder
music making/drumming





","amplify your voice to talk
amplify your voice to sing
amplify music
hit others with
scare people
",342.77696
"utw51njlxqxq","Write a letter
Write a postcard
Write an essay
Sign a contract
Sign an autograph
Write a poem
Write a note","Talk into it
Protest with it
Give an announcement
Give directions
",436.12952
"l9sg3jdp2585","writing
chewing
punching a hole
drawing
fiddling
sketching
annotating
labeling
naming
graffiti
pointing
signing
spearing
scratching","speaking to a group
getting attention
clearing an area of people
signalling alarm
coaching a group of athletes
supporting in a stadium
yelling across a large distance
a pretend space gun prop
use it as a prop in a play
seem like you are in a position of power
a halloween costume of a coach
giving a speech
protesting",766.29241
"5umkinfvrwcc","Writing
Completing a test
drawing
graffiti
signing a petition
writing a letter to an old friend
writing to your congressman/woman
","Address a large group of people
Get many people's attention
Make noise
Be rowdy at a sporting event
Make your opinion known
Yell at people
Inform a group
Experiment with sound
Make sound effects
Sound an alarm in an emergency
Help direct others in times of need",320.651614999999
"c4bdro822vx5","writing
scratching
drawing
getting something out of something small 
drawing on yourself
writing reminders
taking notes
underlining
marking something up
","speaking to a large crowd
as a prop in a show
in an exercise class
to yell at subordinates in the army
to energize people
at a protest
at a large charity dance competition
to warn people
as a police officer in the event of an emergency ",313.9665
"wu8wv7jwolkb","writing
drawing
doodling
playing games
pen flipping
coloring
outlining drawings
balancing it for fun on your face
throwing it at other people","making announcements
yelling at someone
hitting someone
cheering for a team 
getting everyone's attention
expressing your anger
getting a crowd riled up",375.354570000001
"ar7p32wtt1lv","writing
drawing
coloring
twirling
throwing at someone to get their attention
poke holes in something
tap against a surface to make noise
sell
use as subject for art and photography
gift
play catch with someone
poke someone with it
use to unstick something from something
chew on when distracted
click to make noise","make an important announcement
declare that an event is beginning
lead a protest
announce that someone or something is missing or has been found
command a crowd to disperse
cheer at a sports event
use as a prop in a play or movie
attract people to your area
address a large crowd
pedagogy",316.494845
"pdff8xeh7s27","writing on paper
give yourself a temporary tattoo if you are bored
using the pen cap to unlock something
use it to stir your coffee
to press a button
to chew on when bored
play the drums on a surface
use it as a guide to make a straight line
to throw at someone to get his/her attention","to give instructions to a large crowd of people
to get someone's attention
to wake someone up in a very loud way
to annoy someone
to lead a team
",336.7679
"pi85glpnm5jh","To stab someone
To write 
To use as a wand
To play catch
Give it away
","To use during a rally
To use during a basketball game
A principals tool to calm down kids
",1415.49151
"86vaal8zynah","writing
drawing
signing autographs
","loud noise
calling attention
projecting your voice
directing traffic
directing large crowd of people
establishing authority
",315.18273
"6bf4pjalcksy","drawing a picture
writing a letter
dying a shirt
holding in mouth
clicking the top over and over again to relieve stress
giving someone a temporary tattoo
drawing eyebrows on someone's face
using as a bookmark
using as a weight to stop papers from flying away
","getting someone's attention
talking to a large group of people
startling one of your friends
placing on a bookshelf to stop books from falling over
talking over a long distance
using as a stress reliever by pressing the button over and over again
",322.556665
"pztuk75bivze","Write
Draw
Take Notes
Write a letter
Click it
Throw it
Stab someone with it
Use it to poke a hole through something
Defend yourself
Take it apart to see how it works
put it back together again
Use it to get something in a small crack
Use it to show someone your handwriting
To take a test
","yell at someone 
instruct a large group of people
Get someone's attention
Instruct a marching band
Give a speech
Use the siren sound on the side to scare people
Make you feel powerful
",347.4095
"c6nv9gdafx2l","Write a poem
Bite on the end of it 
Do a homework assignment
Doodle
Write an essay
Write your name 
Sign the bottom of a sheet of paper
Draw on your friend 
Endorse a check
Spill ink
Underline things in a reading assignment
","To bark orders at people 
To speak very loudly to a group of people
Make loud noises with the siren button
Get someone's attention from a long way away
Speak to crowds and try and convey an interesting message
",342.457835
"fa8qh5t294o8","writing
picking locks
making/poking holes
opening something
","Speak loudly to a group of people
Coaching
",322.92
"99pcouebu74x","writing
dislodging something
note taking
fidgeting
drumming
opening packages 
placeholder in a book/text book
as a straight edge
","startling
giving instructions 
providing encouragement 
projecting a message
grabbing someone's attention 
maintaining order
officiating a race
heckling 
",320.888995
"0g46783i1hcz","take notes in class
figure-drawing
twirl it as fidgeting habit
write down grocery shopping list
sign a check
fill out your child's field-trip form
pop a ballon
eject iPhone sim Card
clean earwax out of Apple earbuds
transform into a sword to wield
bounce up and catch with spring
cross out to-do list items
point to whiteboard
","yell at someone
sporting event announcement
prank your friend
homeroom teacher announcement
pop a balloon
trap sound in a jar
pretend weapon
lifeguard
lifeguard accessory for Halloween costume
comedy skit
communicate with Dad who's on roof putting up Christmas ornaments
Shutting down a party as a policeman
",312.956915
"u4s0qsob1tjs","write things
put up your hair
scribble notes to friends
cut open boxes
fidget with it","yell at people
spread news
crowd control
announcements
coaching rowing
intimidation
gang violence
police work
",312.9716
"jkeyu4i7qied","Writing an essay.
Writing a book.
Doing homework.
Writing in cursive.
Signing an official document.
Signing your name of a paycheck.
Drawing a picture.
Writing on the walls in bathroom stalls.
Leaving a permanent mark on something.
Leaving your ""tag"" mark around the community as a sign that you were there.
As a way to express your feeling on paper using words or designs.
","Speak.
Raise your voice.
Get someones attention.
Heckle players at a sporting event.
Talking to your subordinates at work.
Pulling a prank on your sleeping friend.
Make really cool sound effects.
In an emergency situation when you want your voice to travel to attract help.
If you are a policeman and you're yelling ""Put your hands up where I can see them, you're under arrest"".
If you want to assert your dominance over someone you see as inferior.
If you are making music and want your voice to be loud.",378.33284
"q1tv6k8ua7vb","To write with it
To spin it
To poke somebody with it
To insert it into a hole
To stab somebody
To give somebody a message
To distribute it as a gift
To fidget with
To use as a counterbalance
","Shout to people
Hit people
Sell it to people
Use it as a weight
Swing it around
Amplify music
Disasseble it for parts",329.838805
"p1eb3ilv0knu","to write with 
to twirl around in your fingers
to keep your hair up
to poke a hole in something you can't open","to speak loudly
to make a horn sound",316.33992
